Eigenvalues,Proportion of Variance,Cumulative Proportion
0.00300265919259324,0.2821095383750291,0.2821095383750291
0.0016275980195043901,0.1529180957582941,0.4350276341333232
0.001515477313317813,0.14238399293949897,0.5774116270728221
7.371608932042232e-4,0.0692586490677829,0.646670276140605
5.833531358444077e-4,0.054807913022110716,0.7014781891627158
4.184294114415902e-4,0.039312795936183025,0.7407909850988988
3.669940433865424e-4,0.034480276823140636,0.7752712619220393
2.8654249893625e-4,0.026921594132006236,0.8021928560540457
2.5598231255170216e-4,0.02405036582382323,0.8262432218778688
2.2548439172491186e-4,0.021184987566088498,0.8474282094439575
1.8416734141546247e-4,0.017303117116532082,0.8647313265604896
1.7431092203581993e-4,0.016377074651213134,0.8811084012117026
1.343570914849999e-4,0.012623283105103139,0.8937316843168058
1.2502518631079732e-4,0.011746520445075717,0.9054782047618815
1.0810890682271816e-4,0.010157181298902605,0.9156353860607841
1.0376674491213077e-4,0.009749221149723136,0.9253846072105072
9.512259444796935e-5,0.008937075268131166,0.9343216824786384
8.749870604940111e-5,0.008220786305984476,0.9425424687846229
6.98909054418024e-5,0.006566476515029078,0.9491089452996521
6.302800287134641e-5,0.00592168463160789,0.95503062993126
5.530341954181444e-5,0.00519593505516273,0.9602265649864227
4.619030882858079e-5,0.0043397288420791436,0.9645662938285018
4.32563442393779e-5,0.004064073383773912,0.9686303672122757
3.975379230424554e-5,0.0037349973061450736,0.9723653645184207
3.6765586429447426e-5,0.00345424570370271,0.9758196102221235
3.128619465868827e-5,0.002939439132634689,0.9787590493547582
2.572075570956136e-5,0.002416548150978986,0.9811755975057371
2.4260973761088942e-5,0.0022793969176230326,0.9834549944233602
2.239036279099873e-5,0.002103646969525975,0.9855586413928862
2.20273452011957e-5,0.0020695402933723944,0.9876281816862585
1.7623369687010876e-5,0.0016557725562991062,0.9892839542425577
1.7111864085472532e-5,0.0016077149513993643,0.990891669193957
1.5908520816557725e-5,0.0014946569610228182,0.9923863261549799
1.1731256056820912e-5,0.0011021894322581344,0.993488515587238
1.0101177680083959e-5,9.490382989191487e-4,0.9944375538861572
8.87036155237962e-6,8.333991446429247e-4,0.9952709530308
8.430852592452455e-6,7.921058569789129e-4,0.9960630588877789
6.800389827529665e-6,6.389186091271877e-4,0.996701977496906
6.09770377121289e-6,5.72898982437923e-4,0.997274876479344
5.378761086646156e-6,5.053519929688784e-4,0.9977802284723128
5.065945976065507e-6,4.7596200203673224e-4,0.9982561904743495
3.6366721944804455e-6,3.4167710958902793e-4,0.9985978675839385
3.3893987516091504e-6,3.1844497022639226e-4,0.9989163125541649
3.0292874033093158e-6,2.8461134485756144e-4,0.9992009238990225
2.3700216416027506e-6,2.2267119521944174e-4,0.9994235950942421
1.920144947085442e-6,1.8040382537306483e-4,0.999603998919615
1.3599048014563134e-6,1.2776745250315754e-4,0.9997317663721182
1.0327576909303127e-6,9.703092384253806e-5,0.9998287972959607
9.590600848135416e-7,9.010679549249675e-5,0.9999189040914533
4.536437561752927e-7,4.2621297467595326e-5,0.999961525388921
2.6028836070929527e-7,2.445493296915753e-5,0.9999859803218901
8.713249129116469e-8,8.186379245520524e-6,0.9999941667011356
6.208726071169902e-8,5.833298864404371e-6,1
